NovelsName,NormalizedName
Tristan Rivers,Tristan Rivers
Tristifer Botley,Tristifer Botley
Tristifer IV Mudd,Tristifer IV Mudd
Tristifer V Mudd,Tristifer V Mudd
Triston,Triston of Tally Hill
Triston Sunderland,Triston Sunderland
Trystane Martell,Trystane Martell
Tuffleberry,Tuffleberry
Tumberjon,Tumberjon
Tumco Lho,Tumco Lho
Turnip,Turnip
Ty,Ty
Tya Lannister,Tya Lannister
Tycho Nestoris,Tycho Nestoris
Tyene Sand,Tyene Sand
Tygett Lannister,Tygett Lannister
Tymor,Tymor
Tyrek Lannister,Tyrek Lannister
Tyrion Lannister,Tyrion Lannister
Tyrion Tanner,Tyrion Tanner
Tysha,Tysha
Tyta Frey,Tyta Frey
Tytos Blackwood,Tytos Blackwood
Tytos Brax,Tytos Brax
Tytos Frey,Tytos Frey
Tytos Hornwood,Tytos Blackwood
Tytos Lannister,Tytos Lannister
Tywin Lannister,Tywin Lannister
Ulf,Ulf
Uller,Uller
Ulmer,Ulmer
Ulwyck Uller,Ulwyck Uller
Umar,Umar
Umfred,Umfred
Umma,Umma
unnamed assassin,
unnamed Flint,
unnamed Glover,
Unnamed inn patron,
Unnamed Innkeep,
Urho,Urho the Unwashed
Urragon Goodbrother,Urrathon IV Goodbrother
Urras Ironfoot,Urras Greyiron
Urrathon Night-Walker,Urrathon Night-Walker
Urreg,Urreg
Urrigon Greyjoy,Urrigon Greyjoy
Urron Greyiron,Urron Greyiron
Urron Redhand,Urron Greyiron
Urswyck,Urswyck
Urzen,Urzen
Utherydes Wayn,Utherydes Wayn
Utt,Utt
Val,Val
Valarr Targaryen,Valarr Targaryen
Varamyr,Varamyr
Vardis Egen,Vardis Egen
Vargo Hoat,Vargo Hoat
Varly,Varly
Varys,Varys
Vayon Poole,Vayon Poole
Vickon Greyjoy,Vickon Greyjoy
Victarion Greyjoy,Victarion Greyjoy
Violet,Violet
Visenya Targaryen,Visenya Targaryen
Viserys I Targaryen,Viserys I Targaryen
Viserys II Targaryen,Viserys II Targaryen
Viserys Plumm,Viserys Plumm
Viserys Targaryen,Viserys Targaryen
Vogarro,Vogarro
Vylarr,Vylarr
Walda Frey,
Walda Frey 3,
Walda Frey 4,
Walda Rivers,Walda Rivers
Walder Frey,Walder Frey
Walder Rivers,Walder Rivers
Walderan Tarbeck,Walderan Tarbeck
Waldon Wynch,Waldon Wynch
Wallen,Wallen
Walter Whent,Walter Whent
Waltyr Frey,Waltyr Frey
Wat,Wat
Watkyn,Watkyn
Watt of Long Lake,Watt of Long Lake
Watty,Watty the Miller
Waymar Royce,Waymar Royce
Wayn,Wayn
Webber,Webber
Weese,Weese
Wenda,Wenda
Wendamyr,Wendamyr
Wendel Manderly,Wendel Manderly
Wendello Qar Deeth,Wendello Qar Deeth
Werlag,Werlag
Wex Pyke,Wex Pyke
Whalen Frey,Whalen Frey
Whitesmile Wat,Whitesmile Wat
Wick Whittlestick,Wick Whittlestick
widow's son,
Will,Will
Will Humble,Will Humble
Will of the Woods,Will of the Woods
Will Short,Will Short
Will the Stork,Will the Stork
Willam Foxglove,Willam Foxglove
Willam Stark,Willam Stark
Willam Wells,Willam Wells
Willas Tyrell,Willas Tyrell
Willem Darry,Willem Darry
Willem Lannister,Willem Lannister
William,Willam
William Dustin,Willam Dustin
William Foxglove,Willam Foxglove
William Mooton,William Mooton
William Wells,Willam Wells
William Wythers,Willam Wythers
Willis Wode,Willis Wode
Willit,Willit
Willow Heddle,Willow Heddle
Willow Witch-Eye,Willow Witch-eye
wine merchant,Wine merchant
Woth,Woth
Wulfe,Wulfe
Wun Wun,Wun Weg Wun Dar Wun
Wyl,Wyl
Wylis Manderly,Wylis Manderly
Wylla,Wylla
Wylla Manderly,Wylla Manderly
Wyman Manderly,Wyman Manderly
Wynafryd Manderly,Wynafryd Manderly
Wynton Stout,Wynton Stout
Xaro Xhoan Daxos,Xaro Xhoan Daxos
Xhobar Qhoqua,Xhobar Qhoqua
Xhondo,Xhondo Dhoru
Yandry,Yandry
Yellow Dick,Yellow Dick
Yezzan zo Qaggaz,Yezzan zo Qaggaz
Ygritte,Ygritte
Yna,Yna
Ynys Yronwood,Ynys Yronwood
Yohn Royce,Yohn Royce
Yoren,Yoren
Yorko Terys,Yorko Terys
Young Henly,Young Henly
Ysilla,Ysilla
Yurkhaz zo Yunzak,Yurkhaz zo Yunzak
Zahrina,Zahrina
Zei,Zei
Zekko,Zekko
Zharaq the Liberator,Zharaq zo Loraq
Zollo,Zollo
Archmaester Theobald,Theobald
Benjen the Bitter,Benjen Stark (Bitter)
Benjen the Sweet,Benjen Stark (Sweet)
Brandon the Bad,Brandon Stark (Bad)
Edderion the Bridegroom,Edderion Stark
Gorghan,Gorghan of Old Ghis
Walton the Moon King,Walton Stark
Annara Frey,Annara Farring
